tmdbId,guideBoxId,title,year,genre,rating,director,actors,poster,backdrop,trailer,plot,rec1,rec2,rec3,created_at
102651,91193,Maleficent,2014,"Action, Adventure, Family",PG,"Robert Stromberg","Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",https://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg,https://image.tmdb.org/t/p/original/o9KEAy25RS6gXxlQU5yJnLOQ2d.jpg,https://www.youtube.com/embed/w-XO4XiRop0?rel=0&autoplay=1,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.","Frozen, 109445, https://image.tmdb.org/t/p/w500/jIjdFXKUNtdf1bwqMrhearpyjMj.jpg","Divergent, 157350, https://image.tmdb.org/t/p/w500/yTtx2ciqk4XdN1oKhMMDy3f5ue3.jpg","The Amazing Spider-Man 2, 102382, https://image.tmdb.org/t/p/w500/mUjWof8LHDgCZC9mFp0UYKBf1Dm.jpg","2017-05-15 11:12:58"
109445,90293,Frozen,2013,"Animation, Adventure, Comedy",PG,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",https://image.tmdb.org/t/p/w500/jIjdFXKUNtdf1bwqMrhearpyjMj.jpg,https://image.tmdb.org/t/p/original/cAhCDpAq80QCeQvHytY9JkBalpH.jpg,https://www.youtube.com/embed/TbQm5doF_Uc?rel=0&autoplay=1,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Tangled, 38757, https://image.tmdb.org/t/p/w500/re6AOJbhBk9FIK3knwU6rYlbPDx.jpg","Maleficent, 102651, https://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","How to Train Your Dragon 2, 82702, https://image.tmdb.org/t/p/w500/lRjOR4uclMQijUav4OjeZprlehu.jpg","2017-05-15 11:10:06"
127585,90450,"X-Men: Days of Future Past",2014,"Action, Adventure, Sci-Fi",PG-13,"Bryan Singer","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",https://image.tmdb.org/t/p/w500/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg,https://image.tmdb.org/t/p/original/5LBcSLHAtEIIgvNkA2dPmYH5wR7.jpg,https://www.youtube.com/embed/gsjtg7m1MMM?rel=0&autoplay=1,"The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.","Captain America: The Winter Soldier, 100402, https://image.tmdb.org/t/p/w500/5TQ6YDmymBpnF005OyoB7ohZps9.jpg","The Amazing Spider-Man 2, 102382, https://image.tmdb.org/t/p/w500/mUjWof8LHDgCZC9mFp0UYKBf1Dm.jpg","Thor: The Dark World, 76338, https://image.tmdb.org/t/p/w500/bnX5PqAdQZRXSw3aX3DutDcdso5.jpg","2017-05-15 11:13:04"
136799,139664,Trolls,2016,"Animation, Adventure, Comedy",PG,"Walt Dohrn, Mike Mitchell","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",https://image.tmdb.org/t/p/w500/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg,https://image.tmdb.org/t/p/original/wc1JxADaBLuWhySkaawCBTpixCo.jpg,https://www.youtube.com/embed/tDnRVKPjj8k?rel=0&autoplay=1,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","Storks, 332210, https://image.tmdb.org/t/p/w500/5qVD5TD1CiALR5vUsMzh2BschVU.jpg","Sing, 335797, https://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","Moana, 277834, https://image.tmdb.org/t/p/w500/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg","2017-05-15 11:10:06"
150689,121371,Cinderella,2015,"Drama, Family, Fantasy",PG,"Kenneth Branagh","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",https://image.tmdb.org/t/p/w500/o1F2aloaOUufHHOsV0laA9aw9N0.jpg,https://image.tmdb.org/t/p/original/aUYcExsGuRaw7PLGmAmXubt1dfG.jpg,https://www.youtube.com/embed/n44EWI92Tc8?rel=0&autoplay=1,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","Into the Woods, 224141, https://image.tmdb.org/t/p/w500/5h91odPFNlBuJbRBj5N4MEBfXDE.jpg","Maleficent, 102651, https://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","The Age of Adaline, 293863, https://image.tmdb.org/t/p/w500/gEDGROZ4NQDlRjUPPSSyIf0hKvD.jpg","2017-05-15 11:10:06"
224141,97246,"Into the Woods",2014,"Adventure, Comedy, Drama",PG,"Rob Marshall","Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt",https://image.tmdb.org/t/p/w500/5h91odPFNlBuJbRBj5N4MEBfXDE.jpg,https://image.tmdb.org/t/p/original/lzJzB0QfkjpGCm9qUC4XpEIB6pm.jpg,https://www.youtube.com/embed/2Byk9Is3TjY?rel=0&autoplay=1,"A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.","Cinderella, 150689, https://image.tmdb.org/t/p/w500/o1F2aloaOUufHHOsV0laA9aw9N0.jpg","Pitch Perfect 2, 254470, https://image.tmdb.org/t/p/w500/eqMkpgTFGSDySzPs5VlvVwhhjfL.jpg","Maleficent, 102651, https://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","2017-05-15 11:10:06"
245891,107956,"John Wick",2014,"Action, Crime, Thriller",R,"Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",https://image.tmdb.org/t/p/w500/5vHssUeVe25bMrof1HyaPyWgaP.jpg,https://image.tmdb.org/t/p/original/mFb0ygcue4ITixDkdr7wm1Tdarx.jpg,https://www.youtube.com/embed/RllJtOw0USI?rel=0&autoplay=1,"An ex-hitman comes out of retirement to track down the gangsters that took everything from him.","The Equalizer, 156022, https://image.tmdb.org/t/p/w500/2eQfjqlvPAxd9aLDs8DvsKLnfed.jpg","Edge of Tomorrow, 137113, https://image.tmdb.org/t/p/w500/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg","Taken 3, 260346, https://image.tmdb.org/t/p/w500/ikDwR3i2bczqnRf1urJTy77YTFf.jpg","2017-05-15 11:10:06"
263115,147509,Logan,2017,"Action, Drama, Sci-Fi",R,"James Mangold","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",https://image.tmdb.org/t/p/w500/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,https://image.tmdb.org/t/p/original/5pAGnkFYSsFJ99ZxDIYnhQbQFXs.jpg,https://www.youtube.com/embed/XaE_9pfybL4?rel=0&autoplay=1,"In the near future, a weary Logan cares for an ailing Professor X somewhere on the Mexican border. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","Guardians of the Galaxy Vol. 2, 283995, https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg","Kong: Skull Island, 293167, https://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg","Doctor Strange, 284052, https://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","2017-05-15 11:10:06"
269149,134704,Zootopia,2016,"Animation, Adventure, Comedy",PG,"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",https://image.tmdb.org/t/p/w500/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg,https://image.tmdb.org/t/p/original/mhdeE1yShHTaDbJVdWyTlzFvNkr.jpg,https://www.youtube.com/embed/jWM0ct-OLsM?rel=0&autoplay=1,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Inside Out, 150540, https://image.tmdb.org/t/p/w500/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg","The Jungle Book, 278927, https://image.tmdb.org/t/p/w500/vOipe2myi26UDwP978hsYOrnUWC.jpg","The Good Dinosaur, 105864, https://image.tmdb.org/t/p/w500/2ZckiMTfSkCep2JTtZbr73tnQbN.jpg","2017-05-15 11:10:06"
273248,133768,"The Hateful Eight",2015,"Crime, Drama, Mystery",R,"Quentin Tarantino","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",https://image.tmdb.org/t/p/w500/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg,https://image.tmdb.org/t/p/original/sSvgNBeBNzAuKl8U8sP50ETJPgx.jpg,https://www.youtube.com/embed/6_UI1GzaWv0?rel=0&autoplay=1,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","Sicario, 273481, https://image.tmdb.org/t/p/w500/p2SdfGmQRaw8xhFbexlHL7srMM8.jpg","The Revenant, 281957, https://image.tmdb.org/t/p/w500/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg","The Big Short, 318846, https://image.tmdb.org/t/p/w500/p11Ftd4VposrAzthkhF53ifYZRl.jpg","2017-05-15 11:10:06"
