tmdbId,guideBoxId,title,year,genre,rating,director,actors,poster,backdrop,trailer,plot,rec1,rec2,rec3,created_at
277834,138745,Moana,2016,"Animation, Adventure, Comedy",PG,"Ron Clements, Don Hall, John Musker, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",https://image.tmdb.org/t/p/w500/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg,https://image.tmdb.org/t/p/original/1qGzqGUd1pa05aqYXGSbLkiBlLB.jpg,https://www.youtube.com/embed/LKFuXETZUsI?rel=0&autoplay=1,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.","Sing, 335797, https://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","Kubo and the Two Strings, 313297, https://image.tmdb.org/t/p/w500/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg","Zootopia, 269149, https://image.tmdb.org/t/p/w500/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg","2017-05-15 11:10:06"
281957,134046,"The Revenant",2015,"Adventure, Drama, Thriller",R,"Alejandro González Iñárritu","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",https://image.tmdb.org/t/p/w500/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg,https://image.tmdb.org/t/p/original/8jNiQwGgAL5R2xwAcJTGWOZn3Mm.jpg,https://www.youtube.com/embed/QRfj1VCg16Y?rel=0&autoplay=1,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.","The Hateful Eight, 273248, https://image.tmdb.org/t/p/w500/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg","Spotlight, 314365, https://image.tmdb.org/t/p/w500/ngKxbvsn9Si5TYVJfi1EGAGwThU.jpg","The Big Short, 318846, https://image.tmdb.org/t/p/w500/p11Ftd4VposrAzthkhF53ifYZRl.jpg","2017-05-15 11:10:06"
295693,150965,"The Boss Baby",2017,"Animation, Comedy, Family",PG,"Hendel Butoy, Tom McGrath","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",https://image.tmdb.org/t/p/w500/unPB1iyEeTBcKiLg8W083rlViFH.jpg,https://image.tmdb.org/t/p/original/bTFeSwh07oX99ofpDI4O2WkiFJ.jpg,https://www.youtube.com/embed/Ud8j5GaqH3c?rel=0&autoplay=1,"A suit-wearing briefcase-carrying baby pairs up with his seven-year old brother to stop the dastardly plot of the CEO of Puppy Co.","Sing, 335797, https://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg","Smurfs: The Lost Village, 137116, https://image.tmdb.org/t/p/w500/swt9crREg1UcKgg3wGWfoFNlXOz.jpg","Beauty and the Beast, 321612, https://image.tmdb.org/t/p/w500/tnmL0g604PDRJwGJ5fsUSYKFo9.jpg","2017-05-15 11:10:06"
297761,137176,"Suicide Squad",2016,"Action, Adventure, Fantasy",PG-13,"David Ayer","Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",https://image.tmdb.org/t/p/w500/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg,https://image.tmdb.org/t/p/original/34dxtTxMHGKw1njHpTjDqR8UBHd.jpg,https://www.youtube.com/embed/PLLQK9la6Go?rel=0&autoplay=1,"A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","X-Men: Apocalypse, 246655, https://image.tmdb.org/t/p/w500/zSouWWrySXshPCT4t3UKCQGayyo.jpg","Doctor Strange, 284052, https://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","Captain America: Civil War, 271110, https://image.tmdb.org/t/p/w500/kSBXou5Ac7vEqKd97wotJumyJvU.jpg","2017-05-15 11:10:06"
313297,139471,"Kubo and the Two Strings",2016,"Animation, Adventure, Family",PG,"Travis Knight","Art Parkinson, Charlize Theron, Ralph Fiennes, Brenda Vaccaro",https://image.tmdb.org/t/p/w500/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg,https://image.tmdb.org/t/p/original/ap3norxI7zbe1KUpU5rCyfhGikb.jpg,https://www.youtube.com/embed/YMmrKORgNFc?rel=0&autoplay=1,"A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.","Storks, 332210, https://image.tmdb.org/t/p/w500/5qVD5TD1CiALR5vUsMzh2BschVU.jpg","Pete's Dragon, 294272, https://image.tmdb.org/t/p/w500/3Okhhyunc9QJUHtnglK6p1Rw3W3.jpg","Hell or High Water, 338766, https://image.tmdb.org/t/p/w500/6YOrNBdoXvT8aC5VPLkkN6t5z0V.jpg","2017-05-15 11:10:06"
313369,148278,"La La Land",2016,"Comedy, Drama, Music",PG-13,"Damien Chazelle","Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",https://image.tmdb.org/t/p/w500/ylXCdC106IKiarftHkcacasaAcb.jpg,https://image.tmdb.org/t/p/original/fp6X6yhgcxzxCpmM0EVC6V9B8XB.jpg,https://www.youtube.com/embed/nXLTERdI4zs?rel=0&autoplay=1,"A jazz pianist falls for an aspiring actress in Los Angeles.","Manchester by the Sea, 334541, https://image.tmdb.org/t/p/w500/eCLpykDxtAQ0gnS5ERrTo7kP9k9.jpg","Moonlight, 376867, https://image.tmdb.org/t/p/w500/qAwFbszz0kRyTuXmMeKQZCX3Q2O.jpg","Lion, 334543, https://image.tmdb.org/t/p/w500/dVrpKogkQCNgRjvWrXqW4ZGmPjB.jpg","2017-05-15 11:10:06"
328111,135934,"The Secret Life of Pets",2016,"Animation, Adventure, Comedy",PG,"Chris Renaud, Yarrow Cheney","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",https://image.tmdb.org/t/p/w500/WLQN5aiQG8wc9SeKwixW7pAR8K.jpg,https://image.tmdb.org/t/p/original/lubzBMQLLmG88CLQ4F3TxZr2Q7N.jpg,https://www.youtube.com/embed/i-80SGWfEjM?rel=0&autoplay=1,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","Zootopia, 269149, https://image.tmdb.org/t/p/w500/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg","Finding Dory, 127380, https://image.tmdb.org/t/p/w500/z09QAf8WbZncbitewNk6lKYMZsh.jpg","The Angry Birds Movie, 153518, https://image.tmdb.org/t/p/w500/s7jqPeMZRufhisx6o5jN74OH4SC.jpg","2017-05-15 11:10:06"
330459,139472,"Rogue One",2016,"Action, Adventure, Sci-Fi",PG-13,"Gareth Edwards","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",https://image.tmdb.org/t/p/w500/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,https://image.tmdb.org/t/p/original/tZjVVIYXACV4IIIhXeIM59ytqwS.jpg,https://www.youtube.com/embed/Wji-BZ0oCwg?rel=0&autoplay=1,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.","Doctor Strange, 284052, https://image.tmdb.org/t/p/w500/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","Star Trek Beyond, 188927, https://image.tmdb.org/t/p/w500/mLrQMqyZgLeP8FrT5LCobKAiqmK.jpg","Star Wars: The Force Awakens, 140607, https://image.tmdb.org/t/p/w500/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg","2017-05-15 11:10:06"
333484,140963,"The Magnificent Seven",2016,"Action, Adventure, Western",PG-13,"Antoine Fuqua","Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",https://image.tmdb.org/t/p/w500/cparcxTFuHdlSOP3MJOpN7Ec9NB.jpg,https://image.tmdb.org/t/p/original/T3LrH6bnV74llVbFpQsCBrGaU9.jpg,https://www.youtube.com/embed/q-RBA0xoaWU?rel=0&autoplay=1,"Seven gunmen in the old west gradually come together to help a poor village against savage thieves.","The Accountant, 302946, https://image.tmdb.org/t/p/w500/afhAUuWVB7k7PjJUd4lwO3rzhSq.jpg","War Dogs, 308266, https://image.tmdb.org/t/p/w500/hmNzppVQq9Qj8Ai8bLIseB5gY51.jpg","Deepwater Horizon, 296524, https://image.tmdb.org/t/p/w500/7D6hM7IR0TbQmNvSZVtEiPM3H5h.jpg","2017-05-15 11:10:06"
334521,151555,"Free Fire",2016,"Action, Crime, Thriller",R,"Ben Wheatley","Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson",https://image.tmdb.org/t/p/w500/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg,https://image.tmdb.org/t/p/original/lPdhR8njOQWT3US0vmpQXVoOHFC.jpg,https://www.youtube.com/embed/G_yyIfhhR8I?rel=0&autoplay=1,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.","The Belko Experiment, 341006, https://image.tmdb.org/t/p/w500/knAqP7qDos8sWQpmPiGYFYwbdcK.jpg","Table 19, 353569, https://image.tmdb.org/t/p/w500/vz0CWnSwcQz1si7pLZp4hC4A1zi.jpg","Unlocked, 291276, https://image.tmdb.org/t/p/w500/fBDLdEraxCBKGmOPb6pJPYiDQh1.jpg","2017-05-15 11:10:06"
335797,143442,Sing,2016,"Animation, Comedy, Family",PG,"Christophe Lourdelet, Garth Jennings","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",https://image.tmdb.org/t/p/w500/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg,https://image.tmdb.org/t/p/original/usJKCEMXV3tECgIJj8ZTEndmY2E.jpg,https://www.youtube.com/embed/Zvjmt4pwtdg?rel=0&autoplay=1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.","Moana, 277834, https://image.tmdb.org/t/p/w500/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg","Trolls, 136799, https://image.tmdb.org/t/p/w500/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg","Storks, 332210, https://image.tmdb.org/t/p/w500/5qVD5TD1CiALR5vUsMzh2BschVU.jpg","2017-05-15 11:10:06"
337339,148679,"The Fate of the Furious",2017,"Action, Adventure, Crime",PG-13,"F. Gary Gray","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",https://image.tmdb.org/t/p/w500/iNpz2DgTsTMPaDRZq2tnbqjL2vF.jpg,https://image.tmdb.org/t/p/original/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,https://www.youtube.com/embed/-9FU7Ia-BKg?rel=0&autoplay=1,"When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","Guardians of the Galaxy Vol. 2, 283995, https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg","Kong: Skull Island, 293167, https://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg","Ghost in the Shell, 315837, https://image.tmdb.org/t/p/w500/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg","2017-05-15 11:10:06"
339967,151219,Colossal,2016,"Action, Comedy, Sci-Fi",R,"Nacho Vigalondo","Dan Stevens, Anne Hathaway, Jason Sudeikis, Tim Blake Nelson",https://image.tmdb.org/t/p/w500/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,https://image.tmdb.org/t/p/original/y5qDjStKZ6y4IHQDhJGMlfZwH92.jpg,https://www.youtube.com/embed/ojLzEjAN5xE?rel=0&autoplay=1,"A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.","Free Fire, 334521, https://image.tmdb.org/t/p/w500/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg","Vampyres, 320678, https://image.tmdb.org/t/p/w500/64qEGPrEYJ6aykhhyYh8jVYVk1m.jpg","Voice from the Stone, 301372, https://image.tmdb.org/t/p/w500/6pJseCfsd90nA26Jz1HTSuyRzGz.jpg","2017-05-15 11:10:06"
372058,147477,"Your Name.",2016,"Animation, Drama, Fantasy",PG,"Makoto Shinkai","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki",https://image.tmdb.org/t/p/w500/xq1Ugd62d23K2knRUx6xxuALTZB.jpg,https://image.tmdb.org/t/p/original/6vkhRvsRvWpmaRVyCXaxTkIEb7j.jpg,https://www.youtube.com/embed/RBBrZ3d2sJE?rel=0&autoplay=1,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","The Garden of Words, 198375, https://image.tmdb.org/t/p/w500/oZSfJH1IwOPla2ZGVli6YIBxYxz.jpg","The Girl Who Leapt Through Time, 14069, https://image.tmdb.org/t/p/w500/tuYEDIru7mmfQDxwzsHxlgkpuJb.jpg","The Boy and the Beast, 315465, https://image.tmdb.org/t/p/w500/v3Dz6KuSC4srTqgDwbEPkjdcOGw.jpg","2017-05-15 11:10:06"
381288,150431,Split,2016,"Horror, Thriller",PG-13,"M. Night Shyamalan","James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",https://image.tmdb.org/t/p/w500/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,https://image.tmdb.org/t/p/original/4G6FNNLSIVrwSRZyFs91hQ3lZtD.jpg,https://www.youtube.com/embed/6bfooooTKyM?rel=0&autoplay=1,"Three girls are kidnapped by a man with a diagnosed 23 distinct personalities, they must try to escape before the apparent emergence of a frightful new 24th.","Passengers, 274870, https://image.tmdb.org/t/p/w500/5gJkVIVU7FDp7AfRAbPSvvdbre2.jpg","Nocturnal Animals, 340666, https://image.tmdb.org/t/p/w500/9Moizj8qxcZK6DqEE1MTO3pQAEw.jpg","Don't Breathe, 300669, https://image.tmdb.org/t/p/w500/lw0IqOSMsQcy1QnVIEIDppLmNwk.jpg","2017-05-15 11:10:06"
419430,150256,"Get Out",2017,"Horror, Mystery",R,"Jordan Peele","Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",https://image.tmdb.org/t/p/w500/1SwAVYpuLj8KsHxllTF8Dt9dSSX.jpg,https://image.tmdb.org/t/p/original/Ae58bf7Yj6OPzwKerPgXSnxCJdh.jpg,https://www.youtube.com/embed/sRfnevzM9kQ?rel=0&autoplay=1,"A young African-American man visits his Caucasian girlfriend's mysterious family estate.","Split, 381288, https://image.tmdb.org/t/p/w500/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg","Kong: Skull Island, 293167, https://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg","The Void, 378018, https://image.tmdb.org/t/p/w500/2WhZAPi3vomEQdzAPIYTvmvWaxI.jpg","2017-05-15 11:10:06"
