"tmdbId","guideBoxId","title","year","genre","director","actors","poster","trailer","rec1","rec2","rec3","created_at"
334521,151555,"Free Fire",2016,"Action, Crime, Thriller","Ben Wheatley","Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson","http://image.tmdb.org/t/p/w185/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg","https://www.youtube.com/watch?v=G_yyIfhhR8I","Table 19, 353569, http://image.tmdb.org/t/p/w500/vz0CWnSwcQz1si7pLZp4hC4A1zi.jpg","Unlocked, 291276, http://image.tmdb.org/t/p/w500/fBDLdEraxCBKGmOPb6pJPYiDQh1.jpg","The Belko Experiment, 341006, http://image.tmdb.org/t/p/w500/knAqP7qDos8sWQpmPiGYFYwbdcK.jpg","2017-05-08 18:23:04"
109445,90293,"Frozen",2013,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","http://image.tmdb.org/t/p/w185/jIjdFXKUNtdf1bwqMrhearpyjMj.jpg","https://www.youtube.com/watch?v=-WdC4DaYIeQ","Tangled, 38757, http://image.tmdb.org/t/p/w500/re6AOJbhBk9FIK3knwU6rYlbPDx.jpg","Maleficent, 102651, http://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","How to Train Your Dragon 2, 82702, http://image.tmdb.org/t/p/w500/lRjOR4uclMQijUav4OjeZprlehu.jpg","2017-05-08 18:01:39"
419430,150256,"Get Out",2017,"Horror, Mystery","Jordan Peele","Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford","http://image.tmdb.org/t/p/w185/1SwAVYpuLj8KsHxllTF8Dt9dSSX.jpg","https://www.youtube.com/watch?v=sRfnevzM9kQ","Split, 381288, http://image.tmdb.org/t/p/w500/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg","Kong: Skull Island, 293167, http://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg","A Cure for Wellness, 340837, http://image.tmdb.org/t/p/w500/byeTgTgG7M1RN2c7njWWIkSkNig.jpg","2017-05-08 18:34:07"
315837,78602,"Ghost in the Shell",1995,"Animation, Action, Crime","Mamoru Oshii","Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera, Yutaka Nakano","http://image.tmdb.org/t/p/w185/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg","https://www.youtube.com/watch?v=xTPvnQ2wDlI","Guardians of the Galaxy Vol. 2, 283995, http://image.tmdb.org/t/p/w500/gaHepzSTMkGwsSKAqiBgroSCf07.jpg","Life, 395992, http://image.tmdb.org/t/p/w500/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg","Logan, 263115, http://image.tmdb.org/t/p/w500/45Y1G5FEgttPAwjTYic6czC9xCn.jpg","2017-05-08 18:23:38"
621,20730,"Grease",1978,"Musical, Romance","Randal Kleiser","John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway","http://image.tmdb.org/t/p/w185/iMHdFTrCYhue74sBnXkdO39AJ3R.jpg","https://www.youtube.com/watch?v=wzWmxjYNfz4","Dirty Dancing, 88, http://image.tmdb.org/t/p/w500/zMHIZHxKv6kdE3JFQqZFqj7OswK.jpg","Pretty Woman, 114, http://image.tmdb.org/t/p/w500/fgmdaCMxXClZm2ePteLzCPySB1n.jpg","Saturday Night Fever, 11009, http://image.tmdb.org/t/p/w500/uC0GIPI54UiqrIQsnq6C0qXSIwp.jpg","2017-05-08 18:36:33"
224141,97246,"Into the Woods",2014,"Adventure, Comedy, Drama","Rob Marshall","Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt","http://image.tmdb.org/t/p/w185/5h91odPFNlBuJbRBj5N4MEBfXDE.jpg","https://www.youtube.com/watch?v=2Byk9Is3TjY","Cinderella, 150689, http://image.tmdb.org/t/p/w500/o1F2aloaOUufHHOsV0laA9aw9N0.jpg","Pitch Perfect 2, 254470, http://image.tmdb.org/t/p/w500/eqMkpgTFGSDySzPs5VlvVwhhjfL.jpg","Maleficent, 102651, http://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","2017-05-08 18:38:18"
1726,67925,"Iron Man",2008,"Action, Adventure, Sci-Fi","Jon Favreau","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","http://image.tmdb.org/t/p/w185/s2IG9qXfhJYxIttKyroYFBsHwzQ.jpg","https://www.youtube.com/watch?v=KAE5ymVLmZg","Iron Man 2, 10138, http://image.tmdb.org/t/p/w500/ArqpkNYGfcTIA6umWt6xihfIZZv.jpg","Captain America: The First Avenger, 1771, http://image.tmdb.org/t/p/w500/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg","Thor, 10195, http://image.tmdb.org/t/p/w500/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg","2017-05-08 18:28:57"
270303,9481,"It",1990,"Drama, Fantasy, Horror","N/A","Harry Anderson, Dennis Christopher, Richard Masur, Annette O'Toole","http://image.tmdb.org/t/p/w185/4MrwJZr0R9LbyOgZqwLNmtzzxbu.jpg","https://www.youtube.com/watch?v=HkZYbOH0ujw","The Babadook, 242224, http://image.tmdb.org/t/p/w500/ohg11LlgBhuM2HKDslUpXSXjO6p.jpg","The Witch, 310131, http://image.tmdb.org/t/p/w500/jfGsfzq5JrMAKbAOV2TmhsOs3tf.jpg","You're Next, 83899, http://image.tmdb.org/t/p/w500/h3LYgLTa8GVKBsofOPEp30BWFk7.jpg","2017-05-08 18:26:00"
245891,107956,"John Wick",2014,"Action, Crime, Thriller","Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","http://image.tmdb.org/t/p/w185/5vHssUeVe25bMrof1HyaPyWgaP.jpg","https://www.youtube.com/watch?v=RllJtOw0USI","The Equalizer, 156022, http://image.tmdb.org/t/p/w500/2eQfjqlvPAxd9aLDs8DvsKLnfed.jpg","Edge of Tomorrow, 137113, http://image.tmdb.org/t/p/w500/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg","Taken 3, 260346, http://image.tmdb.org/t/p/w500/ikDwR3i2bczqnRf1urJTy77YTFf.jpg","2017-05-08 18:24:44"
313297,139471,"Kubo and the Two Strings",2016,"Animation, Adventure, Family","Travis Knight","Art Parkinson, Charlize Theron, Ralph Fiennes, Brenda Vaccaro","http://image.tmdb.org/t/p/w185/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg","https://www.youtube.com/watch?v=YMmrKORgNFc","Storks, 332210, http://image.tmdb.org/t/p/w500/5qVD5TD1CiALR5vUsMzh2BschVU.jpg","Pete's Dragon, 294272, http://image.tmdb.org/t/p/w500/3Okhhyunc9QJUHtnglK6p1Rw3W3.jpg","Hell or High Water, 338766, http://image.tmdb.org/t/p/w500/6YOrNBdoXvT8aC5VPLkkN6t5z0V.jpg","2017-05-08 18:22:19"
313369,148278,"La La Land",2016,"Comedy, Drama, Music","Damien Chazelle","Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters","http://image.tmdb.org/t/p/w185/ylXCdC106IKiarftHkcacasaAcb.jpg","https://www.youtube.com/watch?v=nXLTERdI4zs","Manchester by the Sea, 334541, http://image.tmdb.org/t/p/w500/eCLpykDxtAQ0gnS5ERrTo7kP9k9.jpg","Moonlight, 376867, http://image.tmdb.org/t/p/w500/qAwFbszz0kRyTuXmMeKQZCX3Q2O.jpg","Lion, 334543, http://image.tmdb.org/t/p/w500/dVrpKogkQCNgRjvWrXqW4ZGmPjB.jpg","2017-05-08 18:22:53"
